Designator,Mid X,Mid Y,Rotation,Layer
C1,174.171,-44.996,0.0,top
C2,178.064,-44.86,0.0,top
C3,181.913,-44.742,0.0,top
C4,185.698,-44.742,0.0,top
C5,150.815,-42.418,180.0,top
C6,150.815,-49.022,180.0,top
IC1,150.815,-45.69,270.0,top
J1,177.967,-57.287,0.0,bottom
J2,139.573,-56.251,180.0,top
J3,192.024,-56.347,180.0,top
J4,162.179,-47.758,180.0,top
J5,151.13,-56.22,180.0,top
R1,174.2085,-47.79,180.0,top
R2,178.0185,-47.79,180.0,top
R3,181.8755,-47.79,180.0,top
R4,185.6855,-47.79,180.0,top
R5,135.255,-49.9345,270.0,top
R6,132.305,-49.9345,90.0,top
U1,194.564,-24.257,90.0,top
U2,142.24,-45.68825,90.0,top
